Date,Category,Cost,Currency,Person1,Person2,Person3,Person4
,,,,,,,
2018-04-17,Home - Other,4340.0,INR,0.0,-1446.67,723.34,723.33
2018-04-19,Groceries,269.0,INR,0.0,134.5,-134.5,0.0
2018-04-21,Dining out,125.0,INR,0.0,-41.67,-41.67,83.34
2018-04-22,General,891.0,INR,0.0,523.0,-368.0,-155.0
2018-04-25,Dining out,165.0,INR,0.0,82.5,0.0,-82.5
2018-04-26,Dining out,165.0,INR,0.0,82.5,-82.5,0.0
2018-04-27,Dining out,165.0,INR,0.0,82.5,0.0,-82.5
2018-04-28,Dining out,160.0,INR,0.0,80.0,0.0,-80.0
2018-04-29,Dining out,90.0,INR,0.0,45.0,0.0,-45.0
2018-05-01,Water,100.0,INR,0.0,66.66,-33.33,-33.33
2018-05-02,General,328.34,INR,0.0,328.34,0.0,-328.34
2018-05-02,Dining out,154.0,INR,0.0,102.66,-51.33,-51.33
2018-05-03,Rent,9500.0,INR,0.0,-3166.67,6333.33,-3166.66
2018-05-03,Payment,3217.99,INR,0.0,0.0,-3217.99,3217.99
2018-05-04,Dining out,420.0,INR,0.0,210.0,-210.0,0.0
2018-05-05,Dining out,110.0,INR,0.0,55.0,-55.0,0.0
2018-05-06,Dining out,90.0,INR,0.0,45.0,-45.0,0.0
2018-05-06,Dining out,550.0,INR,0.0,275.0,-275.0,0.0
2018-05-07,General,130.0,INR,0.0,-43.33,86.67,-43.34
2018-05-11,General,500.0,INR,0.0,-500.0,0.0,500.0
2018-05-16,General,875.0,INR,0.0,-291.67,583.33,-291.66
2018-05-22,Dining out,270.0,INR,0.0,180.0,-90.0,-90.0
2018-05-24,Water,100.0,INR,0.0,66.67,-33.33,-33.34
2018-05-24,Dining out,85.0,INR,0.0,42.5,0.0,-42.5
2018-05-25,Movies,500.0,INR,0.0,250.0,0.0,-250.0
2018-05-26,Dining out,90.0,INR,0.0,-45.0,0.0,45.0
2018-05-26,Dining out,286.0,INR,0.0,-143.0,0.0,143.0
2018-05-27,Dining out,40.0,INR,0.0,-20.0,0.0,20.0
2018-05-27,Dining out,210.0,INR,0.0,105.0,0.0,-105.0
2018-05-27,Dining out,90.0,INR,0.0,45.0,0.0,-45.0
2018-05-28,Dining out,240.0,INR,0.0,120.0,0.0,-120.0
2018-05-29,Dining out,60.0,INR,0.0,-30.0,0.0,30.0
2018-05-30,Groceries,200.0,INR,0.0,100.0,0.0,-100.0
2018-06-01,General,382.84,INR,0.0,0.0,-382.84,382.84
2018-06-02,Groceries,30.0,INR,0.0,-30.0,0.0,30.0
2018-06-03,Groceries,2000.0,INR,0.0,-666.67,1333.33,-666.66
2018-06-03,Rent,9500.0,INR,0.0,-3166.67,6333.34,-3166.67
2018-06-05,Water,100.0,INR,0.0,-33.33,-33.34,66.67
2018-06-05,Dining out,270.0,INR,0.0,180.0,-90.0,-90.0
2018-06-06,Groceries,110.0,INR,0.0,-36.67,-36.66,73.33
2018-06-07,Dining out,140.0,INR,0.0,93.34,-46.67,-46.67
2018-06-07,Dining out,132.0,INR,0.0,-44.0,-44.0,88.0
2018-06-09,Dining out,125.0,INR,0.0,-40.0,-40.0,80.0
2018-06-11,Dining out,119.0,INR,0.0,59.5,-59.5,0.0
2018-06-11,Dining out,120.0,INR,0.0,-60.0,60.0,0.0
2018-06-14,Electricity,775.0,INR,0.0,-258.33,516.66,-258.33
2018-06-16,General,160.0,INR,0.0,80.0,-80.0,0.0
2018-06-17,Water,120.0,INR,0.0,-40.0,-40.0,80.0
2018-06-17,Groceries,75.0,INR,0.0,50.0,-25.0,-25.0
2018-06-22,Movies,230.0,INR,0.0,115.0,0.0,-115.0
2018-06-30,Furniture,4500.0,INR,0.0,-1500.0,3000.0,-1500.0
2018-07-02,Rent,9500.0,INR,0.0,-3166.67,6333.34,-3166.67
2018-07-05,Groceries,323.0,INR,0.0,-107.67,215.33,-107.66
2018-07-05,Dining out,270.0,INR,0.0,180.0,-90.0,-90.0
2018-07-05,Water,100.0,INR,0.0,66.67,-33.34,-33.33
2018-07-05,Groceries,234.0,INR,0.0,-73.66,153.83,-80.17
2018-07-15,Electricity,460.0,INR,0.0,-153.33,-153.34,306.67
2018-07-17,Electricity,761.0,INR,0.0,-253.67,507.33,-253.66
2018-07-21,Gas/fuel,2700.0,INR,0.0,1800.0,-900.0,-900.0
2018-07-22,Water,100.0,INR,0.0,-33.34,-33.33,66.67
2018-07-22,Groceries,300.0,INR,0.0,200.0,-100.0,-100.0
2018-07-26,General,100.0,INR,0.0,-33.33,66.67,-33.34
2018-07-27,General,335.0,INR,0.0,-111.67,223.34,-111.67
